83-Bi_n-tot
> 83-Bi-209:1.000000
1.542970e+03 9.76476000e+00
1.585940e+03 9.66851000e+00
1.628910e+03 9.56986000e+00
1.671880e+03 9.46709000e+00
1.710940e+03 9.36826000e+00
1.750000e+03 9.26296000e+00
1.791020e+03 9.14272000e+00
1.832030e+03 9.01031000e+00
1.873050e+03 8.86207000e+00
1.914060e+03 8.69340000e+00
1.935550e+03 8.59477000e+00
1.957030e+03 8.48780000e+00
1.978520e+03 8.37127000e+00
2.000000e+03 8.24366000e+00
2.021170e+03 8.10507000e+00
2.042330e+03 7.95207000e+00
2.063490e+03 7.78261000e+00
2.074080e+03 7.69110000e+00
2.084660e+03 7.59431000e+00
