Cd-106(n,g) ENDFB-8.0
Energy(eV) XS(b)
525.244 0.0135933
527.348 0.0135568
530.240 0.0135991
533.133 0.0137353
536.026 0.0139609
538.918 0.0142749
541.811 0.0146729
544.703 0.0151614
547.596 0.0157429
550.488 0.0164221
553.381 0.0172129
556.273 0.0181213
559.166 0.0191643
560.612 0.0197423
562.058 0.0203626
563.505 0.0210229
564.951 0.0217312
566.397 0.0224934
567.844 0.0233061
569.290 0.0241774
570.736 0.0251181
572.182 0.0261252
573.629 0.0272051
575.469 0.0287063
577.310 0.0303611
579.151 0.0321880
580.992 0.0341885
582.832 0.0364287
584.673 0.0389239
586.514 0.0417127
587.434 0.0432316
588.354 0.0448420
589.801 0.0475760
591.247 0.0505874
592.693 0.0539143
594.139 0.0576018
595.586 0.0617035
596.309 0.0639296
597.032 0.0662837
597.755 0.0687765
598.478 0.0714187
599.201 0.0742224
599.925 0.0772010
601.042 0.0821842
602.160 0.0876839
603.277 0.0937739
604.395 0.100541
605.512 0.108086
606.071 0.112175
606.630 0.116500
607.189 0.121101
607.748 0.125995
608.306 0.131200
608.865 0.136740
609.588 0.144459
610.311 0.152863
611.035 0.162037
611.758 0.172076
612.481 0.183095
613.204 0.195223
613.927 0.208619
614.650 0.223459
615.275 0.237609
615.899 0.253162
616.524 0.270313
617.148 0.289288
617.773 0.310358
618.398 0.333815
618.710 0.346552
619.022 0.360030
619.334 0.374329
619.647 0.389512
619.926 0.403912
620.205 0.419136
620.485 0.435244
620.764 0.452304
620.904 0.461214
621.044 0.470392
621.183 0.479848
621.323 0.489593
621.463 0.499642
621.602 0.510005
621.742 0.520698
621.882 0.531733
622.079 0.547932
622.178 0.556309
622.276 0.564881
622.375 0.573655
622.473 0.582636
622.572 0.591832
622.671 0.601250
622.753 0.609275
622.835 0.617464
622.860 0.619957
622.921 0.626242
622.983 0.632623
623.086 0.643494
623.188 0.654639
623.291 0.666079
623.394 0.677823
623.472 0.686965
623.550 0.696294
623.706 0.715524
623.862 0.735566
