Recomputed-Ag_n-g
> 47-Ag-109:0.481610
> 47-Ag-107:0.518390
1.032230e+01 2.76381582e+00
1.042970e+01 2.67515762e+00
1.053510e+01 2.59399225e+00
1.053710e+01 2.59248163e+00
1.064450e+01 2.51683265e+00
1.075200e+01 2.44625670e+00
1.080270e+01 2.41513783e+00
1.085940e+01 2.38132040e+00
1.096680e+01 2.32154079e+00
1.107030e+01 2.26777952e+00
1.107420e+01 2.26581168e+00
1.118170e+01 2.21532406e+00
1.120410e+01 2.20550118e+00
1.128910e+01 2.16918881e+00
1.133780e+01 2.14982528e+00
1.139650e+01 2.12721550e+00
1.147160e+01 2.10035661e+00
1.150390e+01 2.08924152e+00
1.160540e+01 2.05813468e+00
1.171880e+01 2.02509430e+00
1.173920e+01 2.02001863e+00
1.187300e+01 1.98901431e+00
1.191410e+01 1.98025967e+00
1.200680e+01 1.96383763e+00
1.210940e+01 1.94768095e+00
1.214050e+01 1.94377136e+00
1.227430e+01 1.93013964e+00
1.230470e+01 1.92790342e+00
1.240810e+01 1.92322202e+00
1.250000e+01 1.92190615e+00
1.254190e+01 1.92246627e+00
1.267570e+01 1.92898783e+00
1.273440e+01 1.93424372e+00
1.280950e+01 1.94296627e+00
1.294320e+01 1.96484021e+00
1.296880e+01 1.97043100e+00
1.307700e+01 1.99658483e+00
1.314390e+01 2.01590754e+00
1.320310e+01 2.03507970e+00
1.321080e+01 2.03773343e+00
1.332030e+01 2.08106507e+00
1.342970e+01 2.13230702e+00
1.343750e+01 2.13660780e+00
1.353920e+01 2.19455351e+00
1.364860e+01 2.26764601e+00
1.367190e+01 2.28511876e+00
1.370340e+01 2.30925525e+00
1.375810e+01 2.35463673e+00
1.381280e+01 2.40364695e+00
1.386760e+01 2.45656962e+00
1.390630e+01 2.49710126e+00
1.392230e+01 2.51411127e+00
1.397700e+01 2.57712673e+00
1.403180e+01 2.64550773e+00
1.408650e+01 2.71978780e+00
1.414060e+01 2.80033693e+00
1.415340e+01 2.81954420e+00
1.422030e+01 2.93077171e+00
1.428720e+01 3.05432135e+00
1.435410e+01 3.19191936e+00
1.437500e+01 3.24000583e+00
1.442090e+01 3.34623972e+00
1.448780e+01 3.51934996e+00
1.455470e+01 3.71388008e+00
1.458820e+01 3.82025203e+00
1.462160e+01 3.93332921e+00
1.467940e+01 4.14615335e+00
1.468750e+01 4.17948773e+00
1.473720e+01 4.38470261e+00
1.479490e+01 4.65236279e+00
1.482380e+01 4.79852743e+00
1.485270e+01 4.95372242e+00
1.488160e+01 5.11880311e+00
1.491050e+01 5.29445896e+00
1.493940e+01 5.48174229e+00
1.496820e+01 5.68154582e+00
1.499710e+01 5.89515300e+00
1.500000e+01 5.91809408e+00
1.502600e+01 6.12408490e+00
1.505490e+01 6.36964009e+00
1.508380e+01 6.63328710e+00
1.510810e+01 6.87091567e+00
1.513240e+01 7.12383675e+00
1.515680e+01 7.39364709e+00
1.518110e+01 7.68161133e+00
1.521450e+01 8.11057841e+00
1.524800e+01 8.58214690e+00
1.528140e+01 9.10235061e+00
1.531250e+01 9.63662604e+00
1.531490e+01 9.67788163e+00
1.534830e+01 1.03175121e+01
1.538170e+01 1.10303393e+01
1.539850e+01 1.14180544e+01
1.541520e+01 1.18284843e+01
1.543190e+01 1.22636413e+01
1.544860e+01 1.27256509e+01
1.547750e+01 1.35938384e+01
1.550640e+01 1.45623862e+01
1.552090e+01 1.50894486e+01
1.553530e+01 1.56475717e+01
1.554970e+01 1.62396494e+01
1.556420e+01 1.68685754e+01
1.557860e+01 1.75379969e+01
1.559310e+01 1.82505393e+01
1.560750e+01 1.90105235e+01
1.562200e+01 1.98224412e+01
1.562500e+01 2.00035480e+01
1.563640e+01 2.06918608e+01
1.565080e+01 2.16231007e+01
1.566530e+01 2.26229672e+01
