72-Hf_n-g
> 72-Hf-174:0.001600
> 72-Hf-176:0.052600
> 72-Hf-177:0.186000
> 72-Hf-178:0.272800
> 72-Hf-179:0.136200
> 72-Hf-180:0.350800
4.701170e-01 6.33966332e+01
4.718750e-01 6.35379455e+01
4.765630e-01 6.39156706e+01
4.789060e-01 6.41121624e+01
4.812500e-01 6.43091631e+01
4.824220e-01 6.44076776e+01
4.859380e-01 6.47148444e+01
4.882810e-01 6.49201662e+01
5.000000e-01 6.60065052e+01
5.153480e-01 6.75715217e+01
5.156250e-01 6.75999070e+01
5.306960e-01 6.92942743e+01
5.312500e-01 6.93568670e+01
5.460440e-01 7.12002005e+01
5.468750e-01 7.13042620e+01
5.613930e-01 7.32981808e+01
5.625000e-01 7.34509786e+01
5.767410e-01 7.56135523e+01
5.781250e-01 7.58247818e+01
5.859380e-01 7.71028051e+01
5.920890e-01 7.81587094e+01
5.937500e-01 7.84453237e+01
6.015630e-01 7.98620016e+01
6.074370e-01 8.09797395e+01
6.093750e-01 8.13504877e+01
6.171880e-01 8.29191646e+01
6.227850e-01 8.40989577e+01
6.250000e-01 8.45681899e+01
6.351780e-01 8.68609436e+01
6.357420e-01 8.69886034e+01
6.464840e-01 8.95916145e+01
6.475720e-01 8.98742161e+01
6.562500e-01 9.21388439e+01
6.572270e-01 9.23938153e+01
6.599650e-01 9.31607845e+01
6.679690e-01 9.54136631e+01
6.723580e-01 9.67414324e+01
6.787110e-01 9.86731297e+01
6.847510e-01 1.00649394e+02
6.875000e-01 1.01553809e+02
6.894530e-01 1.02197533e+02
6.971450e-01 1.04929980e+02
7.001950e-01 1.06019847e+02
7.095380e-01 1.09623361e+02
7.109380e-01 1.10165816e+02
7.157340e-01 1.12168219e+02
7.187500e-01 1.13431378e+02
7.207030e-01 1.14249350e+02
7.219310e-01 1.14802520e+02
7.304690e-01 1.18664294e+02
7.316010e-01 1.19216040e+02
7.402340e-01 1.23445522e+02
7.412700e-01 1.23993371e+02
7.500000e-01 1.28634843e+02
7.509400e-01 1.29178087e+02
7.606100e-01 1.34798222e+02
7.607420e-01 1.34875435e+02
7.661130e-01 1.38229826e+02
7.702800e-01 1.40951854e+02
7.714840e-01 1.41743599e+02
7.768560e-01 1.45439809e+02
7.799490e-01 1.47669339e+02
7.812500e-01 1.48611933e+02
7.822270e-01 1.49319791e+02
7.847840e-01 1.51261357e+02
7.875980e-01 1.53405751e+02
7.896190e-01 1.55021188e+02
7.929690e-01 1.57708842e+02
7.944540e-01 1.58959594e+02
7.983400e-01 1.62245036e+02
7.992890e-01 1.63087910e+02
8.037110e-01 1.67034888e+02
8.064830e-01 1.69636531e+02
8.090820e-01 1.72091084e+02
8.125000e-01 1.75487863e+02
8.136770e-01 1.76658043e+02
8.144530e-01 1.77434742e+02
8.198240e-01 1.83095927e+02
8.208720e-01 1.84260591e+02
8.251950e-01 1.89097998e+02
8.280660e-01 1.92487356e+02
8.305670e-01 1.95461934e+02
8.352610e-01 2.01358771e+02
8.359380e-01 2.02216171e+02
8.408200e-01 2.08735643e+02
8.424550e-01 2.11033990e+02
8.437500e-01 2.12865641e+02
8.457030e-01 2.15627982e+02
8.460520e-01 2.16148127e+02
8.496500e-01 2.21533477e+02
8.505860e-01 2.22940963e+02
8.532470e-01 2.27160612e+02
8.554690e-01 2.30700855e+02
8.568440e-01 2.33013586e+02
8.603520e-01 2.38947283e+02
8.615630e-01 2.41112572e+02
8.652340e-01 2.47720366e+02
8.662810e-01 2.49714050e+02
8.701170e-01 2.57069701e+02
8.710000e-01 2.58863369e+02
8.750000e-01 2.67048803e+02
8.757190e-01 2.68614395e+02
8.803710e-01 2.78822886e+02
8.804370e-01 2.78977638e+02
