>,44-Ru-99:0.127600
>,44-Ru-100:0.126000
>,44-Ru-101:0.170600
>,44-Ru-102:0.315500
>,44-Ru-104:0.186200
9.823470e+00,8.55968341e+01
9.825000e+00,8.66280591e+01
9.828750e+00,8.91489695e+01
9.830000e+00,8.99970721e+01
9.830120e+00,9.00782908e+01
9.835000e+00,9.35820563e+01
9.835390e+00,9.38614551e+01
9.836780e+00,9.48663523e+01
9.840000e+00,9.73355810e+01
9.842020e+00,9.88803367e+01
9.843440e+00,9.99752980e+01
9.843750e+00,1.00228913e+02
9.848660e+00,1.04245869e+02
9.850000e+00,1.05350847e+02
9.850090e+00,1.05424835e+02
9.855300e+00,1.09948575e+02
9.856750e+00,1.11216827e+02
9.861330e+00,1.15445459e+02
9.861940e+00,1.16007445e+02
9.863410e+00,1.17370981e+02
9.868570e+00,1.22419876e+02
9.870060e+00,1.23886126e+02
9.872660e+00,1.26571343e+02
9.875210e+00,1.29201719e+02
9.876720e+00,1.30767200e+02
9.881850e+00,1.36340347e+02
9.883380e+00,1.38012184e+02
9.883990e+00,1.38709646e+02
9.890030e+00,1.45612204e+02
9.895130e+00,1.51673661e+02
9.895310e+00,1.51888593e+02
9.896690e+00,1.53536557e+02
9.903350e+00,1.61790653e+02
9.906830e+00,1.66255058e+02
9.910000e+00,1.70323754e+02
9.912020e+00,1.72988737e+02
9.916660e+00,1.79101917e+02
9.918340e+00,1.81373152e+02
9.923310e+00,1.88097661e+02
