Te-123(n,g) ENDFB-8.0
Energy(eV) XS(b)
35.5015 109.715
35.5079 115.264
35.5143 121.221
35.5207 127.615
35.5271 134.491
35.5335 141.861
35.5399 149.771
35.5463 158.259
35.5527 167.364
35.5591 177.124
35.5655 187.581
35.5719 198.777
35.5758 206.018
35.5797 213.541
35.5836 221.375
35.5875 229.529
35.5914 238.036
35.5954 246.861
35.5993 256.034
35.6032 265.565
35.6071 275.490
35.6110 285.764
35.6188 307.474
35.6266 330.782
35.6345 355.743
35.6423 382.439
35.6501 410.836
35.6579 441.029
35.6658 472.951
35.6736 506.674
35.6814 542.085
35.6892 579.230
35.6971 617.947
35.7031 648.954
35.7092 680.827
35.7213 746.863
35.7333 815.527
35.7454 886.106
35.7611 978.912
35.7767 1071.31
35.7924 1161.01
35.8080 1245.42
35.8237 1321.91
35.8315 1356.38
35.8393 1387.95
35.8493 1423.71
35.8594 1453.74
35.8694 1477.58
35.8794 1494.86
35.8897 1505.55
35.9000 1508.85
35.9069 1506.91
35.9181 1496.75
35.9292 1478.09
35.9404 1451.31
35.9516 1416.91
35.9588 1390.73
35.9661 1361.82
35.9806 1296.62
35.9960 1218.69
36.0114 1134.05
36.0255 1052.56
36.0396 969.336
36.0678 804.184
36.0819 725.037
36.0959 649.773
36.1030 613.814
36.1100 579.099
36.1171 545.690
36.1241 513.682
36.1325 477.602
36.1408 443.498
36.1491 411.382
36.1574 381.278
36.1658 353.088
36.1741 326.806
