Ne-22(n,tot) ENDFB-8.0
Energy(eV) XS(b)
5.77705E+06 1.82232
5.77705E+06 1.82232
5.80000E+06 1.82252
5.90015E+06 1.81132
5.90015E+06 1.81132
5.97311E+06 1.81081
5.97311E+06 1.81081
6.00000E+06 1.81069
6.07351E+06 1.80500
6.18117E+06 1.79708
6.18118E+06 1.79708
6.20000E+06 1.79998
6.40000E+06 1.79019
6.40081E+06 1.79007
6.52024E+06 1.78277
6.52025E+06 1.78277
6.59973E+06 1.78115
6.59973E+06 1.78115
6.60000E+06 1.78115
6.63759E+06 1.77835
6.63759E+06 1.77835
6.80000E+06 1.77273
6.93974E+06 1.76471
6.93974E+06 1.76471
6.99789E+06 1.76483
6.99789E+06 1.76483
7.00000E+06 1.76494
7.13218E+06 1.75511
7.13218E+06 1.75511
7.16994E+06 1.75506
7.20000E+06 1.75740
7.21679E+06 1.75599
7.21679E+06 1.75599
7.37430E+06 1.74952
7.40000E+06 1.75036
7.51231E+06 1.74652
7.60000E+06 1.74369
7.67739E+06 1.73731
7.67739E+06 1.73731
7.67959E+06 1.73716
7.74558E+06 1.73500
7.74558E+06 1.73500
7.76252E+06 1.73549
7.76253E+06 1.73549
7.80000E+06 1.73737
7.81158E+06 1.73636
7.83459E+06 1.73508
7.99356E+06 1.73093
8.00000E+06 1.73137
8.01636E+06 1.72989
8.07618E+06 1.72588
8.28598E+06 1.71774
8.28598E+06 1.71774
8.44683E+06 1.71626
8.44684E+06 1.71626
8.45338E+06 1.71645
8.50000E+06 1.71782
8.87957E+06 1.70890
9.00000E+06 1.70636
