16-S_n-tot
>   16-S-32:0.949995
>   16-S-33:0.007501
>   16-S-34:0.042504
1.345700e+04 1.24464399e+00
1.345780e+04 1.22436143e+00
1.345890e+04 1.19640560e+00
1.346010e+04 1.16869104e+00
1.346060e+04 1.15508792e+00
1.346120e+04 1.14208160e+00
1.346170e+04 1.12949707e+00
1.346230e+04 1.11738184e+00
1.346290e+04 1.10597318e+00
1.346340e+04 1.09507558e+00
1.346400e+04 1.08469752e+00
1.346450e+04 1.07484552e+00
1.346510e+04 1.06551307e+00
1.346560e+04 1.05669242e+00
1.346620e+04 1.04836882e+00
1.346670e+04 1.04066428e+00
1.346720e+04 1.03353280e+00
1.346770e+04 1.02693313e+00
1.346830e+04 1.02058897e+00
1.346880e+04 1.01472137e+00
1.346930e+04 1.00908479e+00
1.346980e+04 1.00387201e+00
1.347090e+04 9.94224006e-01
1.347190e+04 9.85634615e-01
1.347300e+04 9.77968314e-01
1.347400e+04 9.71109346e-01
1.347510e+04 9.65009952e-01
1.347620e+04 9.59213587e-01
1.347730e+04 9.54004531e-01
1.347840e+04 9.49307777e-01
1.347950e+04 9.45093321e-01
1.348060e+04 9.41231400e-01
1.348170e+04 9.37714513e-01
1.348280e+04 9.34501407e-01
1.348390e+04 9.31583680e-01
1.348510e+04 9.28642823e-01
1.348630e+04 9.25953691e-01
1.348750e+04 9.23487557e-01
1.348870e+04 9.21219592e-01
1.348990e+04 9.19128195e-01
1.349110e+04 9.17194839e-01
1.349230e+04 9.15403246e-01
1.349350e+04 9.13752293e-01
1.349570e+04 9.10990497e-01
1.349780e+04 9.08563338e-01
1.350000e+04 9.06396052e-01
1.350220e+04 9.04468264e-01
1.350440e+04 9.02729271e-01
1.350660e+04 9.01167220e-01
1.350880e+04 8.99745433e-01
1.351100e+04 8.98457460e-01
1.351320e+04 8.97275922e-01
1.351540e+04 8.96193094e-01
1.351760e+04 8.95197500e-01
1.351980e+04 8.94283214e-01
1.352420e+04 8.92648911e-01
1.352860e+04 8.91235580e-01
1.353180e+04 8.90320638e-01
1.353500e+04 8.89490828e-01
1.353820e+04 8.88730551e-01
1.354140e+04 8.88035005e-01
1.354780e+04 8.86799929e-01
1.355410e+04 8.85739499e-01
1.355850e+04 8.85091319e-01
1.356290e+04 8.84501196e-01
1.357170e+04 8.83462414e-01
1.358050e+04 8.82574846e-01
1.358930e+04 8.81807141e-01
1.359810e+04 8.81133570e-01
1.360690e+04 8.80537257e-01
1.361560e+04 8.80004653e-01
1.362440e+04 8.79523552e-01
1.364200e+04 8.78683910e-01
1.365960e+04 8.77969982e-01
1.367710e+04 8.77350966e-01
1.369470e+04 8.76802429e-01
1.371230e+04 8.76309247e-01
1.372980e+04 8.75861024e-01
1.374740e+04 8.75447275e-01
1.375000e+04 8.75390441e-01
1.376500e+04 8.75062497e-01
1.379370e+04 8.74483946e-01
1.382250e+04 8.73952247e-01
1.385120e+04 8.73458529e-01
1.387990e+04 8.72993990e-01
1.391510e+04 8.72456037e-01
1.395020e+04 8.71946091e-01
1.398540e+04 8.71456519e-01
1.402050e+04 8.70985052e-01
1.406520e+04 8.70404633e-01
1.410990e+04 8.69842066e-01
1.415470e+04 8.69293047e-01
1.419940e+04 8.68756208e-01
1.426960e+04 8.67932010e-01
1.433990e+04 8.67124586e-01
1.441020e+04 8.66330888e-01
1.448050e+04 8.65548141e-01
1.456990e+04 8.64565072e-01
1.465930e+04 8.63592803e-01
1.474880e+04 8.62628382e-01
1.483820e+04 8.61671565e-01
1.497880e+04 8.60178154e-01
1.500000e+04 8.59954515e-01
1.511930e+04 8.58692408e-01
1.525980e+04 8.57213895e-01
1.540040e+04 8.55740526e-01
1.565590e+04 8.53075232e-01
1.591150e+04 8.50419807e-01
1.616700e+04 8.47773565e-01
1.625000e+04 8.46915752e-01
1.642250e+04 8.45124162e-01
1.690800e+04 8.40093054e-01
1.739360e+04 8.35070085e-01
1.750000e+04 8.33970580e-01
1.787910e+04 8.30033181e-01
1.836460e+04 8.24992567e-01
1.875000e+04 8.20989861e-01
1.918230e+04 8.16456363e-01
1.959120e+04 8.12163356e-01
2.000000e+04 8.07865150e-01
2.032020e+04 8.04481716e-01
2.064030e+04 8.01091736e-01
2.064670e+04 8.01023753e-01
2.096050e+04 7.97669720e-01
2.128070e+04 7.94232881e-01
2.161610e+04 7.90610662e-01
2.178380e+04 7.88788040e-01
2.187500e+04 7.87791217e-01
2.194020e+04 7.87080468e-01
2.195150e+04 7.86956697e-01
2.208870e+04 7.85444263e-01
2.222590e+04 7.83921104e-01
2.236320e+04 7.82383778e-01
2.250040e+04 7.80830991e-01
2.258420e+04 7.79872055e-01
2.266810e+04 7.78902629e-01
2.275190e+04 7.77923067e-01
2.283580e+04 7.76929038e-01
2.291200e+04 7.76011737e-01
2.298820e+04 7.75078460e-01
2.306450e+04 7.74124041e-01
2.314070e+04 7.73146734e-01
2.322460e+04 7.72035244e-01
2.323370e+04 7.71910985e-01
2.326650e+04 7.71464886e-01
2.330840e+04 7.70881670e-01
2.335030e+04 7.70283228e-01
2.339230e+04 7.69666425e-01
2.343420e+04 7.69031154e-01
2.347610e+04 7.68374206e-01
2.352190e+04 7.67629907e-01
2.354470e+04 7.67248440e-01
2.356760e+04 7.66859564e-01
2.359050e+04 7.66465662e-01
2.361330e+04 7.66070318e-01
2.363620e+04 7.65675291e-01
2.365910e+04 7.65289565e-01
2.368580e+04 7.64869127e-01
2.369910e+04 7.64682264e-01
2.371240e+04 7.64520229e-01
2.372480e+04 7.64400803e-01
2.373720e+04 7.64324430e-01
2.374960e+04 7.64310014e-01
2.375000e+04 7.64311531e-01
2.375580e+04 7.64333663e-01
2.376200e+04 7.64383200e-01
2.376720e+04 7.64449652e-01
2.377250e+04 7.64541100e-01
2.377770e+04 7.64664108e-01
2.378300e+04 7.64821863e-01
2.378820e+04 7.65023028e-01
2.379340e+04 7.65274374e-01
2.379870e+04 7.65584244e-01
2.380390e+04 7.65966402e-01
2.380820e+04 7.66341642e-01
2.381250e+04 7.66783564e-01
2.381680e+04 7.67303268e-01
2.382110e+04 7.67912456e-01
2.382320e+04 7.68258108e-01
