Co-59(n,g) ENDFB-8.0
Energy(eV) XS(b)
3495.33 0.0380420
3512.92 0.0387845
3530.52 0.0395622
3548.12 0.0403767
3565.72 0.0412305
3583.31 0.0421263
3600.91 0.0430670
3625.11 0.0444445
3649.30 0.0459179
3673.50 0.0475031
3697.69 0.0492209
3721.89 0.0510704
3746.09 0.0530884
3770.28 0.0552881
3794.48 0.0576860
3814.83 0.0599003
3835.17 0.0623138
3855.52 0.0649527
3865.69 0.0663511
3875.87 0.0678549
3896.21 0.0710747
3916.56 0.0747055
3936.91 0.0789594
3947.08 0.0815173
3952.17 0.0829634
3957.25 0.0846452
3962.48 0.0868164
3965.09 0.0881682
3967.70 0.0898203
3970.31 0.0920019
3971.62 0.0934018
3972.93 0.0951168
3974.23 0.0972817
3975.54 0.100113
3976.84 0.103986
3978.15 0.109609
3978.91 0.114234
3979.66 0.120701
3980.04 0.125130
3980.42 0.130920
3980.80 0.138885
3981.17 0.150415
3981.55 0.167844
3981.74 0.179879
3981.93 0.194954
3982.12 0.213877
3982.31 0.237632
3982.50 0.267406
3982.69 0.304603
3982.87 0.350866
3983.06 0.408078
3983.25 0.478361
3983.44 0.564055
3983.54 0.613737
3983.63 0.667681
3983.73 0.727371
3983.82 0.791885
3983.91 0.862935
3984.01 0.939355
3984.10 1.02310
3984.20 1.11272
3984.33 1.24718
3984.46 1.39553
3984.58 1.55837
3984.71 1.73617
3984.84 1.92924
3984.97 2.13772
3985.10 2.36157
3985.23 2.60048
3985.36 2.85393
3985.49 3.12112
3985.62 3.40097
3985.75 3.69210
3986.00 4.30133
3986.26 4.92970
3986.47 5.43762
3986.67 5.93171
3986.88 6.40158
3987.09 6.83410
3987.19 7.03231
3987.29 7.21644
3987.39 7.38501
3987.50 7.53669
3987.62 7.69162
3987.74 7.81881
3987.91 7.95173
3988.00 8.00000
3988.12 8.03399
3988.20 8.04012
3988.21 8.04009
