Se-78(n,tot) ENDFB-8.0
Energy(eV) XS(b)
1174.94 7.58674
1202.27 7.56114
1215.94 7.54842
1229.61 7.53575
1243.27 7.52315
1256.94 7.51060
1270.61 7.49813
1284.27 7.48578
1289.57 7.48105
1294.87 7.47636
1300.16 7.47173
1305.46 7.46720
1310.75 7.46281
1313.40 7.46069
1316.05 7.45865
1318.70 7.45671
1321.35 7.45493
1323.99 7.45334
1326.64 7.45204
1328.18 7.45150
1329.72 7.45117
1331.26 7.45111
1332.79 7.45144
1334.33 7.45232
1335.10 7.45304
1335.87 7.45398
1336.64 7.45522
1337.41 7.45685
1338.17 7.45897
1338.94 7.46172
1339.58 7.46464
1340.22 7.46830
1340.87 7.47293
1341.51 7.47882
1341.83 7.48240
1342.15 7.48648
1342.47 7.49119
1342.79 7.49663
1343.11 7.50298
1343.43 7.51041
1343.75 7.51920
1344.07 7.52968
1344.37 7.54145
1344.67 7.55566
1344.97 7.57312
1345.12 7.58346
1345.26 7.59505
1345.41 7.60831
1345.56 7.62347
1345.71 7.64127
1345.86 7.66224
1346.01 7.68779
1346.16 7.71922
1346.24 7.73805
1346.31 7.75909
1346.39 7.78341
1346.46 7.81091
1346.53 7.84304
1346.61 7.88028
1346.68 7.92362
1346.76 7.97351
1346.83 8.03266
1346.91 8.10204
1346.98 8.18350
1347.06 8.27778
1347.10 8.33232
1347.13 8.38984
1347.17 8.45381
1347.21 8.52122
1347.25 8.59611
1347.28 8.67496
1347.32 8.76006
1347.36 8.85186
1347.39 8.95358
1347.43 9.06034
1347.47 9.17844
1347.51 9.30217
1347.54 9.43877
1347.58 9.58159
1347.62 9.73464
1347.66 9.89847
1347.70 10.1330
1347.75 10.3832
1347.80 10.6550
1347.85 10.9496
1347.90 11.2681
1347.94 11.6117
1347.99 11.9815
1348.04 12.3785
1348.09 12.8035
1348.14 13.2575
1348.18 13.7411
1348.23 14.2548
1348.28 14.7989
1348.33 15.3736
1348.38 15.9789
1348.42 16.6145
1348.48 17.4363
1348.54 18.3016
1348.60 19.2081
1348.66 20.1366
1348.72 21.1157
1348.78 22.1255
1348.89 24.1987
1349.15 28.8487
1349.27 30.9107
1349.39 32.8119
1349.46 33.9241
1349.53 34.9201
1349.59 35.6432
1349.65 36.2724
1349.71 36.8058
1349.77 37.2492
1349.85 37.7275
1349.91 37.9212
1349.96 38.0271
1350.00 38.0484
1350.00 38.0481
1350.02 38.0436
1350.03 38.0350
1350.05 38.0029
1350.10 37.8849
1350.16 37.6810
1350.21 37.4039
1350.26 37.0220
1350.32 36.5664
1350.37 36.0246
1350.43 35.4089
1350.50 34.5274
1350.56 33.5621
1350.67 31.8739
1350.78 30.0502
1350.89 28.0935
1351.00 26.1093
1351.11 24.1301
1351.22 22.1998
