>,82-Pb-207:0.221000
>,82-Pb-208:0.524000
4.759510e+02,2.43269207e-03
4.760780e+02,2.51185478e-03
4.762050e+02,2.59940910e-03
4.763320e+02,2.69657861e-03
4.764860e+02,2.82983443e-03
4.766400e+02,2.98262025e-03
4.767940e+02,3.15915007e-03
4.769480e+02,3.36439388e-03
4.770250e+02,3.48000779e-03
4.771020e+02,3.60535170e-03
4.771790e+02,3.74176961e-03
4.772560e+02,3.89063352e-03
4.773330e+02,4.05374943e-03
4.774100e+02,4.23261534e-03
4.774870e+02,4.42959725e-03
4.775640e+02,4.64734116e-03
4.776530e+02,4.92965209e-03
4.777420e+02,5.24991703e-03
4.778320e+02,5.61551271e-03
4.779210e+02,6.03528965e-03
4.779650e+02,6.26955274e-03
4.780100e+02,6.52226658e-03
4.780540e+02,6.79556167e-03
4.780990e+02,7.09185752e-03
4.781440e+02,7.41402536e-03
4.781880e+02,7.76538445e-03
4.782330e+02,8.14988030e-03
4.782770e+02,8.57122539e-03
4.783340e+02,9.17270625e-03
4.783910e+02,9.85916712e-03
